1	through a specimen	意味: 試料を通して\nアクセント: thrōō ə SPĔS-ə-mən\n類義語: across a sample, via the specimen, through the sample	audio/001_through_a_specimen.mp3
2	hot tungsten filament	意味: 高温のタングステンフィラメント\nアクセント: hŏt TŬNG-stən FĬL-ə-mənt\n類義語: heated tungsten wire, glowing filament, tungsten emitter	audio/002_hot_tungsten_filament.mp3
3	through the length	意味: 全長にわたって\nアクセント: thrōō thə lĕngkth\n類義語: along the length, throughout, end-to-end	audio/003_through_the_length.mp3
4	the microscope cylinder	意味: 顕微鏡の筒部\nアクセント: thə MĪ-krə-skōp SĬL-ĭn-dər\n類義語: microscope tube, optical barrel, instrument column	audio/004_the_microscope_cylinder.mp3
5	houses the lenses	意味: レンズを収めている\n基本形: house the lens\nアクセント: HOU-zĭz thə LĔN-zĭz\n類義語: contains lenses, holds optics, accommodates lenses	audio/005_houses_the_lenses.mp3
6	specimen	意味: 試料；標本\nアクセント: SPĔS-ə-mən\n類義語: sample, sample material, test piece	audio/006_specimen.mp3
7	chamber	意味: 室；区画\nアクセント: CHĀM-bər\n類義語: compartment, cavity, enclosure	audio/007_chamber.mp3
8	image-recording system	意味: 画像記録システム\nアクセント: ĬM-ĭj rĭ-KÔR-dĭng SĬS-təm\n類義語: imaging system, capture system, recording setup	audio/008_image_recording_system.mp3
9	lenses	意味: レンズ\n基本形: lens\nアクセント: LĔN-zĭz\n類義語: optics, glass elements, optical lenses	audio/009_lenses.mp3
10	electrostatic	意味: 静電の\nアクセント: ĭ-lĕk-trō-STĂT-ĭk\n類義語: static-electric, charge-based, electric-field based	audio/010_electrostatic.mp3
11	electromagnetic	意味: 電磁の\nアクセント: ĭ-lĕk-trō-măg-NĔT-ĭk\n類義語: EM, magnetic-electric, field-based	audio/011_electromagnetic.mp3
12	fields to	意味: 〜するための場\nアクセント: fēldz tə\n類義語: force fields to, zones to, fields used to	audio/012_fields_to.mp3
13	concentrate	意味: 集中させる；集める\nアクセント: KŎN-sən-trāt\n類義語: focus, gather, intensify	audio/013_concentrate.mp3
14	vacuum	意味: 真空\nアクセント: VĂK-yōōm\n類義語: near-empty space, low-pressure space, evacuated space	audio/014_vacuum.mp3
15	column	意味: 柱状部；カラム\nアクセント: KŎL-əm\n類義語: tube, pillar section, vertical channel	audio/015_column.mp3
16	specimen	意味: 試料；標本\nアクセント: SPĔS-ə-mən\n類義語: sample, sample material, test piece	audio/016_specimen.mp3
