1	huge		audio/001_huge.mp3
2	estimate		audio/002_estimate.mp3
3	as many as		audio/003_as_many_as.mp3
4	trillion		audio/004_trillion.mp3
5	diameter		audio/005_diameter.mp3
6	general shapes		audio/006_general_shapes.mp3
7	Elliptical galaxies		audio/007_elliptical_galaxies.mp3
8	little		audio/008_little.mp3
9	moderately flat		audio/009_moderately_flat.mp3
10	spherical		audio/010_spherical.mp3
11	bright central region		audio/011_bright_central_region.mp3
12	nucleus		audio/012_nucleus.mp3
13	come out		audio/013_come_out.mp3
14	wind around		audio/014_wind_around.mp3
15	trailing off		audio/015_trailing_off.mp3
16	spiral shape		audio/016_spiral_shape.mp3
17	rather small		audio/017_rather_small.mp3
18	passive		audio/018_passive.mp3
19	interstellar gas		audio/019_interstellar_gas.mp3
20	shining		audio/020_shining.mp3
21	the radiation		audio/021_the_radiation.mp3
22	give off		audio/022_give_off.mp3
23	astronomers		audio/023_astronomers.mp3
24	accurate		audio/024_accurate.mp3
25	observations		audio/025_observations.mp3
26	radio frequencies		audio/026_radio_frequencies.mp3
27	suprised to		audio/027_suprised_to.mp3
28	emit large amounts of energy		audio/028_emit_large_amounts_of_energy.mp3
29	the radio region		audio/029_the_radio_region.mp3
30	Ordinary stars		audio/030_ordinary_stars.mp3
31	invisible light		audio/031_invisible_light.mp3
32	Futhermore		audio/032_futhermore.mp3
33	deduce		audio/033_deduce.mp3
34	radiation		audio/034_radiation.mp3
35	particles of		audio/035_particles_of.mp3
36	extremely		audio/036_extremely.mp3
37	magnetic fields		audio/037_magnetic_fields.mp3
