1	amending	改正している；修正している	audio/001_amending.mp3
2	constitution	憲法；構成	audio/002_constitution.mp3
3	Constitution	（米国の）合衆国憲法	audio/003_constitution.mp3
4	amended	改正された；修正された	audio/004_amended.mp3
5	effect	効果；影響；（法・規則などを）発効させる	audio/005_effect.mp3
6	amendments	改正条項；修正	audio/006_amendments.mp3
7	consist	成る；構成される	audio/007_consist.mp3
8	the Bill of Rights	権利章典	audio/008_the_bill_of_rights.mp3
9	amendment	改正；修正条項	audio/009_amendment.mp3
10	time-consuming	時間のかかる	audio/010_time_consuming.mp3
11	cumbersome	扱いにくい；煩雑な	audio/011_cumbersome.mp3
12	the land	国土；（比喩的に）国家	audio/012_the_land.mp3
13	subject	主題；被験者；〜に従わせる；〜の支配下にある	audio/013_subject.mp3
14	the whims of special-interest	特殊利益集団の気まぐれ（思惑）	audio/014_the_whims_of_special_interest.mp3
15	factions	派閥；党派	audio/015_factions.mp3
16	majority of the population	人口の大多数	audio/016_majority_of_the_population.mp3
17	any given time	任意のある時点；その時々	audio/017_any_given_time.mp3
18	constitution	憲法；構成	audio/018_constitution.mp3
19	confine	制限する；閉じ込める	audio/019_confine.mp3
20	primarily	主として；第一に	audio/020_primarily.mp3
21	procedures	手続き；手順	audio/021_procedures.mp3
22	By coontrast	対照的に（※ contrast の綴り違いと考えられる）	audio/022_by_coontrast.mp3
23	constitution	憲法；構成	audio/023_constitution.mp3
24	lenghy	長い；冗長な（※ lengthy の綴り違いと考えられる）	audio/024_lenghy.mp3
25	amounts to	〜に相当する；結局〜になる	audio/025_amounts_to.mp3
26	statue law	制定法（※ statute law の綴り違いと考えられる）	audio/026_statue_law.mp3
27	frequent	頻繁な；しばしば訪れる	audio/027_frequent.mp3
28	embodies	具現化する；含む	audio/028_embodies.mp3
29	provisions	条項；規定；準備	audio/029_provisions.mp3
30	guarantee	保証；保証する	audio/030_guarantee.mp3
31	employment	雇用；就業	audio/031_employment.mp3
32	fail	失敗する；果たせない	audio/032_fail.mp3
33	live up	（期待・基準に）応える	audio/033_live_up.mp3
34	promises	約束；公約；約束する	audio/034_promises.mp3
35	Prohibitaion Amendment	禁酒法修正条項（※ Prohibition Amendment の綴り違いと考えられる）	audio/035_prohibitaion_amendment.mp3
36	prohibiting	禁止している	audio/036_prohibiting.mp3
37	beverages	飲料	audio/037_beverages.mp3
38	represented	代表した；示した	audio/038_represented.mp3
39	desires	欲求；願望；望む	audio/039_desires.mp3
40	substantial	かなりの；実質的な	audio/040_substantial.mp3
41	faction	派閥；分派	audio/041_faction.mp3
42	prooved	証明した（※ proved/proven の綴り違いと考えられる）	audio/042_prooved.mp3
43	unenfoceable	強制できない（※ unenforceable の綴り違いと考えられる）	audio/043_unenfoceable.mp3
44	muserably	みじめに；ひどく（※ miserably の綴り違いと考えられる）	audio/044_muserably.mp3
45	disliked	嫌われた；嫌った	audio/045_disliked.mp3
46	obey	従う；守る	audio/046_obey.mp3
47	repealed	廃止された；撤回された	audio/047_repealed.mp3
48	withdrawn	撤回された；取り下げられた	audio/048_withdrawn.mp3
49	Amendment	改正条項；修正	audio/049_amendment.mp3
