1	the solar system		audio/001_the_solar_system.mp3
2	be home to		audio/002_be_home_to.mp3
3	closest to		audio/003_closest_to.mp3
4	Mercury		audio/004_mercury.mp3
5	due to		audio/005_due_to.mp3
6	Venus		audio/006_venus.mp3
7	thick		audio/007_thick.mp3
8	clouds of carbon dioxide		audio/008_clouds_of_carbon_dioxide.mp3
9	abundant		audio/009_abundant.mp3
10	beyond earth lies mars		audio/010_beyond_earth_lies_mars.mp3
11	captured		audio/011_captured.mp3
12	suggests		audio/012_suggests.mp3
13	once have		audio/013_once_have.mp3
14	prime candidate for futere exploration		audio/014_prime_candidate_for_futere_exploration.mp3
15	stretches the asteroid belt		audio/015_stretches_the_asteroid_belt.mp3
16	a region filled		audio/016_a_region_filled.mp3
17	over from		audio/017_over_from.mp3
18	the early solar system		audio/018_the_early_solar_system.mp3
19	towering beyond the belt is Jupiter		audio/019_towering_beyond_the_belt_is_jupiter.mp3
20	Saturn		audio/020_saturn.mp3
21	dazzling ring system		audio/021_dazzling_ring_system.mp3
22	Farther out		audio/022_farther_out.mp3
23	Uranus		audio/023_uranus.mp3
24	rotates on its side		audio/024_rotates_on_its_side.mp3
25	a peculiar tilt		audio/025_a_peculiar_tilt.mp3
26	at the edge of the planetary lineup		audio/026_at_the_edge_of_the_planetary_lineup.mp3
27	boasts fierce winds		audio/027_boasts_fierce_winds.mp3
28	reveals		audio/028_reveals.mp3
29	cosmic		audio/029_cosmic.mp3
30	universe		audio/030_universe.mp3
