close living arrangements	意味: 密接な共生関係\nアクセント: klōs LĬV-ĭng ə-RĀNJ-mənts\n類義語: intimate associations, close coexistence, tight biological partnerships
symbiosis	意味: 共生\nアクセント: sĭm-bī-Ō-sĭs\n類義語: coexistence, interdependence, biological partnership
state of living together	意味: 共に生きる状態\nアクセント: stāt əv LĬV-ĭng tə-GĔTH-ər\n類義語: coexistence state, shared living condition, communal life state
in some cases	意味: 場合によっては\nアクセント: ĭn sŭm KĀ-sĭz\n類義語: sometimes, in certain instances, occasionally
intimate	意味: 親密な；密接な\nアクセント: ĬN-tə-mĭt\n類義語: close, deep, closely connected
classified	意味: 分類された\n基本形: classify\nアクセント: KLĂS-ə-fīd\n類義語: categorized, grouped, sorted
mutualism	意味: 相利共生\nアクセント: MYŪ-chōō-əl-ĭ-zəm\n類義語: cooperative symbiosis, reciprocal relationship, win-win association
commensalism, and parasitism	意味: 片利共生と寄生\nアクセント: kə-MĔN-sə-lĭ-zəm ănd PĂR-ə-sĭ-tĭ-zəm\n類義語: one-sided symbiosis and parasitic relation, commensal and parasitic interaction, mixed dependency types
harmful	意味: 有害な\nアクセント: HÄRM-fəl\n類義語: damaging, detrimental, injurious
fatal	意味: 致命的な\nアクセント: FĀ-təl\n類義語: deadly, lethal, mortal
mutualism	意味: 相利共生\nアクセント: MYŪ-chōō-əl-ĭ-zəm\n類義語: cooperation in symbiosis, reciprocal benefit, biological mutual benefit
nitrogen-fixing	意味: 窒素固定の\nアクセント: NĪ-trə-jən fĭk-sĭng\n類義語: nitrogen-binding, N-fixing, atmospheric nitrogen converting
Rhizobium bacteria	意味: リゾビウム属細菌\nアクセント: rī-ZŌ-bē-əm bāk-TĬR-ē-ə\n類義語: root nodule bacteria, nitrogen-fixing bacteria, symbiotic bacteria
leguminous	意味: マメ科の\nアクセント: lĭ-GYŪ-mə-nəs\n類義語: bean-family, pulse-bearing, fabaceous
beans, peas, peanuts, and alfalfa	意味: インゲン、エンドウ、ピーナッツ、アルファルファ\nアクセント: bēnz pēz PĒ-nŭts ănd ăl-FĂL-fə\n類義語: legumes, pulse crops, nitrogen-fixing plants
beings	意味: 生物；存在\n基本形: being\nアクセント: BĒ-ĭngz\n類義語: organisms, creatures, entities
nitrogen	意味: 窒素\nアクセント: NĪ-trə-jən\n類義語: N, atmospheric nitrogen, nitrogen element
metabolize	意味: 代謝する\nアクセント: mə-TĂB-ə-līz\n類義語: process biologically, break down, assimilate
roots of legumes	意味: マメ科植物の根\nアクセント: rōōts əv LĔG-yōōmz\n類義語: legume roots, pulse plant roots, bean roots
nodules	意味: 根粒；小結節\n基本形: nodule\nアクセント: NŎJ-ōōlz\n類義語: root nodules, small lumps, growth nodes
enlargements	意味: 拡大部；膨らみ\n基本形: enlargement\nアクセント: ĭn-LÄRJ-mənts\n類義語: expansions, swellings, broadenings
absorb	意味: 吸収する\nアクセント: əb-ZÔRB\n類義語: take in, assimilate, soak up
nitrogen	意味: 窒素\nアクセント: NĪ-trə-jən\n類義語: N, atmospheric nitrogen, nitrogen element
convert	意味: 変換する\nアクセント: kən-VÛRT\n類義語: transform, change, alter
ammonia	意味: アンモニア\nアクセント: ə-MŌ-nē-ə\n類義語: NH3, ammoniac gas, nitrogen compound
compound	意味: 化合物\nアクセント: KŎM-pound\n類義語: chemical, substance, molecular combination
amino acids	意味: アミノ酸\nアクセント: ə-MĒ-nō ĂS-ĭdz\n類義語: protein building blocks, amino compounds, peptide units
leguminous	意味: マメ科の\nアクセント: lĭ-GYŪ-mə-nəs\n類義語: pulse-related, bean-family, fabaceous
obtain	意味: 得る；入手する\nアクセント: əb-TĀN\n類義語: acquire, gain, get
source of nitrogen-bearing compounds	意味: 窒素含有化合物の供給源\nアクセント: sôrs əv NĪ-trə-jən bĕr-ĭng KŎM-poundz\n類義語: nitrogen source, supplier of N compounds, nutrient source
in turn	意味: その見返りに；順に\nアクセント: ĭn tûrn\n類義語: reciprocally, consequently, in return
absorbing	意味: 吸収している\n基本形: absorb\nアクセント: əb-ZÔR-bĭng\n類義語: taking in, assimilating, soaking up
nutrients	意味: 栄養素\n基本形: nutrient\nアクセント: NŪ-trē-ənts\n類義語: nourishment, nutrients substances, food elements
lichens	意味: 地衣類\n基本形: lichen\nアクセント: LĪ-kənz\n類義語: symbiotic organisms, fungi-algae associations, composite life forms
consists of fungi	意味: 菌類から成る\n基本形: consist of fungi\nアクセント: kən-SĬSTS əv FŬN-jī\n類義語: is made of fungi, comprises fungi, includes fungal component
algae	意味: 藻類\nアクセント: ĂL-jē\n類義語: aquatic plants, phytoplankton, photosynthetic organisms
mutualism	意味: 相利共生\nアクセント: MYŪ-chōō-əl-ĭ-zəm\n類義語: reciprocal symbiosis, cooperative relationship, biological mutual aid
dwelling	意味: 生息している；住んでいる\n基本形: dwell\nアクセント: DWĔL-ĭng\n類義語: residing, inhabiting, living in
photosynthesis	意味: 光合成\nアクセント: fō-tō-SĬN-thə-sĭs\n類義語: light-driven synthesis, carbon fixation, plant energy production
